chemin,class,classe_LOC,classe_CLOC,classe_DC,WMC,classes_BC
org/jfree/chart/,ArrayUtils.java,106,82,0.7735849,25,0.030943396
org/jfree/chart/,Overlay.java,7,71,10.142858,6,1.6904763
org/jfree/chart/,ShapeUtils.java,121,383,3.1652892,39,0.08116126
org/jfree/chart/,ChartMouseEvent.java,7,97,13.857142,7,1.9795917
org/jfree/chart/,StandardXYItemLabelGenerator.java,9,180,20.0,12,1.6666666
org/jfree/chart/,FlowEntity.java,38,66,1.7368422,8,0.21710527
org/jfree/chart/,TextUtils.java,393,307,0.7811705,75,0.010415606
org/jfree/chart/,CenterTextMode.java,2,48,24.0,4,6.0
org/jfree/chart/,StandardXYZURLGenerator.java,9,51,5.6666665,4,1.4166666
org/jfree/chart/,AbstractPieItemLabelGenerator.java,9,219,24.333334,17,1.4313726
org/jfree/chart/,ChartFrame.java,6,81,13.5,7,1.9285715
org/jfree/chart/,CrosshairLabelGenerator.java,5,45,9.0,4,2.25
org/jfree/chart/,ValueTick.java,3,130,43.333332,8,5.4166665
org/jfree/chart/,TextAnchor.java,2,166,83.0,12,6.9166665
org/jfree/chart/,SerialDate.java,8,970,121.25,93,1.3037634
org/jfree/chart/,ValueAxis.java,24,1643,68.458336,147,0.46570295
org/jfree/chart/,PolarAxisLocation.java,2,68,34.0,4,8.5
org/jfree/chart/,ImageEncoderFactory.java,4,147,36.75,16,2.296875
org/jfree/chart/,DrawingSupplier.java,12,76,6.3333335,4,1.5833334
org/jfree/chart/,MultipleXYSeriesLabelGenerator.java,13,213,16.384615,16,1.0240384
org/jfree/chart/,SymbolAxis.java,28,710,25.357143,74,0.3426641
org/jfree/chart/,ApplicationFrame.java,35,79,2.2571428,7,0.32244897
org/jfree/chart/,DateTick.java,6,120,20.0,7,2.857143
org/jfree/chart/,UIUtils.java,85,96,1.1294118,15,0.07529412
org/jfree/chart/,CyclicNumberAxis.java,26,1135,43.653847,105,0.41575092
org/jfree/chart/,FlowLabelGenerator.java,6,48,8.0,5,1.6
org/jfree/chart/,PublicCloneable.java,5,48,9.6,5,1.9200001
org/jfree/chart/,CrosshairOverlay.java,29,564,19.448277,69,0.28185907
org/jfree/chart/,EntityBlockParams.java,4,50,12.5,4,3.125
org/jfree/chart/,LabelBlock.java,24,392,16.333334,23,0.71014494
org/jfree/chart/,Size2D.java,4,158,39.5,10,3.95
org/jfree/chart/,XYSeriesLabelGenerator.java,5,52,10.4,6,1.7333332
org/jfree/chart/,package-info.java,1,3,3.0,1,3.0
org/jfree/chart/,ChartChangeListener.java,5,47,9.4,6,1.5666666
org/jfree/chart/,ChartChangeEvent.java,5,119,23.8,4,5.95
org/jfree/chart/,CombinedDomainXYPlot.java,27,722,26.74074,67,0.39911553
org/jfree/chart/,TickUnits.java,7,200,28.571428,14,2.0408163
org/jfree/chart/,LengthAdjustmentType.java,2,48,24.0,4,6.0
org/jfree/chart/,AbstractXYAnnotation.java,12,185,15.416667,14,1.1011904
org/jfree/chart/,AbstractAnnotation.java,13,200,15.384615,29,0.530504
org/jfree/chart/,MonthDateFormat.java,15,228,15.2,17,0.89411765
org/jfree/chart/,FlowArrangement.java,9,429,47.666668,47,1.0141845
org/jfree/chart/,G2TextMeasurer.java,5,62,12.4,4,3.1
org/jfree/chart/,DateTitle.java,13,147,11.307693,6,1.8846154
org/jfree/chart/,PolarItemRenderer.java,35,147,4.2,4,1.05
org/jfree/chart/,ItemLabelAnchor.java,2,115,57.5,4,14.375
org/jfree/chart/,MonthConstants.java,2,76,38.0,4,9.5
org/jfree/chart/,package-info.java,1,3,3.0,1,3.0
org/jfree/chart/,StandardPieSectionLabelGenerator.java,17,228,13.411765,14,0.9579832
org/jfree/chart/,ChartProgressEvent.java,4,121,30.25,4,7.5625
org/jfree/chart/,StandardPieURLGenerator.java,8,152,19.0,13,1.4615384
org/jfree/chart/,ItemLabelPosition.java,6,179,29.833334,10,2.9833333
org/jfree/chart/,CategoryPointerAnnotation.java,29,500,17.241379,20,0.86206895
org/jfree/chart/,package-info.java,1,3,3.0,1,3.0
org/jfree/chart/,BubbleXYItemLabelGenerator.java,14,248,17.714285,21,0.8435374
org/jfree/chart/,MarkerChangeListener.java,6,44,7.3333335,6,1.2222222
org/jfree/chart/,ColorBlock.java,12,174,14.5,11,1.3181819
org/jfree/chart/,OutlierList.java,5,164,32.8,9,3.6444445
org/jfree/chart/,CustomCategoryURLGenerator.java,8,182,22.75,19,1.1973684
org/jfree/chart/,NumberTickUnitSource.java,9,218,24.222221,31,0.781362
org/jfree/chart/,PieURLGenerator.java,5,59,11.8,7,1.6857144
org/jfree/chart/,RectangleInsets.java,5,515,103.0,31,3.3225806
org/jfree/chart/,WaferMapPlot.java,24,404,16.833334,31,0.5430108
org/jfree/chart/,RendererChangeEvent.java,2,91,45.5,5,9.1
org/jfree/chart/,SeriesRenderingOrder.java,5,53,10.6,4,2.65
org/jfree/chart/,package-info.java,1,3,3.0,1,3.0
org/jfree/chart/,CloneUtils.java,89,85,0.9550562,24,0.03979401
org/jfree/chart/,StandardCategoryItemLabelGenerator.java,10,131,13.1,10,1.3100001
org/jfree/chart/,RingPlot.java,27,653,24.185184,42,0.57583773
org/jfree/chart/,RendererUtils.java,153,94,0.6143791,42,0.014628074
org/jfree/chart/,DefaultPolarItemRenderer.java,42,863,20.547619,77,0.2668522
org/jfree/chart/,SpreadsheetDate.java,4,443,110.75,56,1.9776785
org/jfree/chart/,IntervalCategoryItemLabelGenerator.java,11,118,10.727273,11,0.9752066
org/jfree/chart/,CenterArrangement.java,6,315,52.5,32,1.640625
org/jfree/chart/,PlotChangeEvent.java,3,64,21.333334,4,5.3333335
org/jfree/chart/,StandardFlowLabelGenerator.java,8,116,14.5,8,1.8125
org/jfree/chart/,ImageEncoder.java,13,82,6.3076925,7,0.9010989
org/jfree/chart/,ValueMarker.java,5,136,27.2,11,2.4727273
org/jfree/chart/,CompassFormat.java,6,142,23.666666,11,2.151515
org/jfree/chart/,HighLowItemLabelGenerator.java,11,197,17.90909,21,0.85281384
org/jfree/chart/,AxisLabelLocation.java,2,47,23.5,4,5.875
org/jfree/chart/,Tick.java,6,163,27.166666,11,2.469697
org/jfree/chart/,CategoryItemLabelGenerator.java,7,70,10.0,7,1.4285715
org/jfree/chart/,CustomPieURLGenerator.java,14,206,14.714286,18,0.8174603
org/jfree/chart/,PeriodAxisLabelInfo.java,20,330,16.5,20,0.825
org/jfree/chart/,LegendItemSource.java,5,45,9.0,4,2.25
org/jfree/chart/,PieSectionEntity.java,8,222,27.75,10,2.775
org/jfree/chart/,StandardToolTipTagFragmentGenerator.java,12,53,4.4166665,4,1.1041666
org/jfree/chart/,package-info.java,1,3,3.0,1,3.0
org/jfree/chart/,BlockFrame.java,9,51,5.6666665,4,1.4166666
org/jfree/chart/,StandardURLTagFragmentGenerator.java,11,55,5.0,4,1.25
org/jfree/chart/,package-info.java,1,3,3.0,1,3.0
org/jfree/chart/,Pannable.java,11,69,6.2727275,10,0.6272727
org/jfree/chart/,XYImageAnnotation.java,22,270,12.272727,21,0.58441556
org/jfree/chart/,OutlierListCollection.java,5,163,32.6,10,3.2599998
org/jfree/chart/,TextLine.java,10,229,22.9,12,1.9083333
